make,model,year,trim,engine,drivetrain,transmission,body_style,region
Toyota,Vitz,2014,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2014,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2014,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2015,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2015,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2015,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2016,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2016,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2016,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2017,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2017,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2017,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2018,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2018,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2018,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2019,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2019,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2019,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2020,F,1.0L 1KR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2020,U,1.3L 1NR-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Vitz,2020,RS,1.5L 1NZ-FE,FWD,Automatic,Hatchback,JDM/TZ
Toyota,Crown,2005,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2005,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2005,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2006,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2006,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2006,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2007,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2007,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2007,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2008,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2008,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2008,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2009,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2009,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2009,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2010,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2010,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2010,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2011,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2011,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2011,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2012,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2012,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2012,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2013,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2013,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2013,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2014,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2014,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2014,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2015,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2015,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2015,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2016,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2016,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2016,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2017,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2017,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2017,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2018,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2018,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2018,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2019,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2019,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2019,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2020,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2020,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2020,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2021,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2021,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2021,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2022,Athlete,2.5L 4GR-FSE V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2022,Royal Saloon,2.5L V6,RWD,Automatic,Sedan,JDM/TZ
Toyota,Crown,2022,Majesta,4.6L 1UR-FSE V8,RWD,Automatic,Sedan,JDM/TZ
Toyota,Harrier,2005,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2005,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2005,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2005,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2006,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2006,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2006,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2006,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2007,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2007,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2007,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2007,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2008,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2008,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2008,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2008,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2009,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2009,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2009,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2009,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2010,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2010,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2010,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2010,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2011,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2011,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2011,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2011,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2012,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2012,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2012,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2012,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2013,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2013,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2013,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2013,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2014,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2014,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2014,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2014,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2015,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2015,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2015,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2015,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2016,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2016,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2016,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2016,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2017,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2017,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2017,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2017,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2018,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2018,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2018,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2018,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2019,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2019,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2019,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2019,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2020,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2020,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2020,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2020,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2021,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2021,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2021,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2021,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2022,240G,2.4L 2AZ-FE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2022,350G,3.5L 2GR-FE V6,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2022,Premium,2.0L 3ZR-FAE,FWD,Automatic,SUV,JDM/TZ
Toyota,Harrier,2022,Hybrid,2.5L 2AR-FXE,FWD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2005,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2005,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2005,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2005,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2006,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2006,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2006,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2006,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2007,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2007,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2007,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2007,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2008,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2008,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2008,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2008,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2009,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2009,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2009,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2009,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2010,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2010,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2010,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2010,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2011,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2011,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2011,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2011,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2012,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2012,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2012,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2012,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2013,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2013,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2013,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2013,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2014,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2014,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2014,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2014,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2015,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2015,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2015,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2015,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2016,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2016,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2016,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2016,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2017,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2017,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2017,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2017,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2018,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2018,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2018,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2018,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2019,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2019,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2019,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2019,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2020,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2020,TXL,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2020,TZ,4.0L 1GR-FE V6,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2020,TX Diesel,3.0L 1KD-FTV,4WD,Automatic,SUV,JDM/TZ
Toyota,Land Cruiser Prado,2021,TX,2.7L 2TR-FE,4WD,Automatic,SUV,JDM/TZ
